class,method,descriptor,tier,total_issues,orig_insns,recomp_insns,insn_diff,issue_breakdown,n_branch_inv,n_branch_target,n_const_ref,n_goto_swap,n_opcode,n_orig_extra,n_recomp_extra,n_return_swap,n_var_slot
zombie/vehicles/UI3DScene,calcMatrices,(Lorg/joml/Matrix4f;Lorg/joml/Matrix4f;)V,STRUCTURAL,91,128,127,-1,const_ref:40; opcode:22; var_slot:20; goto_swap:7; return_swap:1; orig_extra:1,,,40,7,22,1,,1,20
zombie/vehicles/PolygonalMap2$LineClearCollideMain,canStandAtOld,(Lzombie/vehicles/PolygonalMap2;FFFLzombie/vehicles/BaseVehicle;I)Z,STRUCTURAL,92,428,428,0,const_ref:62; branch_target:8; opcode:8; var_slot:5; goto_swap:4; branch_inv:2; orig_extra:2; return_swap:1,2,8,62,4,8,2,,1,5
zombie/characters/IsoPlayer,updateFootInjuries,()V,SORTED_MULTISET,93,226,225,-1,const_ref:71; opcode:14; var_slot:3; goto_swap:2; return_swap:2; branch_target:1,,1,71,2,14,,,2,3
zombie/chat/ChatElement,addChatLine,(Ljava/lang/String;FFFLzombie/ui/UIFont;FLjava/lang/String;ZZZZZZ)V,SORTED_MULTISET,93,113,111,-2,var_slot:33; opcode:33; const_ref:13; branch_target:6; goto_swap:5; branch_inv:2; orig_extra:1,2,6,13,5,33,1,,,33
zombie/iso/IsoWorld,LoadPlayerForInfo,()Z,SORTED_MULTISET,93,186,184,-2,const_ref:66; opcode:19; var_slot:4; return_swap:2; goto_swap:1; recomp_extra:1,,,66,1,19,,1,2,4
zombie/core/skinnedmodel/advancedanimation/BlendInfo$BlendInstance,update,()V,STRUCTURAL,96,107,105,-2,opcode:53; var_slot:32; goto_swap:4; const_ref:3; orig_extra:2; branch_target:1; return_swap:1,,1,3,4,53,2,,1,32
zombie/world/logger/WorldDictionaryLogger,saveLog,(Ljava/lang/String;)V,SORTED_MULTISET,96,96,94,-2,opcode:45; var_slot:32; goto_swap:13; return_swap:3; branch_target:1; branch_inv:1; orig_extra:1,1,1,,13,45,1,,3,32
zombie/core/textures/Texture,getSharedTextureInternal,(Ljava/lang/String;I)Lzombie/core/textures/Texture;,STRUCTURAL,97,208,210,2,const_ref:94; var_slot:3,,,94,,,,,,3
zombie/iso/IsoWorld,readWorldVersion,()I,SORTED_MULTISET,97,128,128,0,var_slot:33; opcode:27; goto_swap:15; const_ref:14; return_swap:6; branch_target:1; recomp_extra:1,,1,14,15,27,,1,6,33
zombie/network/GameServer,receiveSyncThumpable,(Ljava/nio/ByteBuffer;Lzombie/core/raknet/UdpConnection;S)V,SORTED_MULTISET,97,128,126,-2,var_slot:30; opcode:29; const_ref:22; goto_swap:6; branch_target:4; return_swap:4; orig_extra:2,,4,22,6,29,2,,4,30
zombie/characters/action/ActionContext,getNextState,()Lzombie/characters/action/ActionState;,STRUCTURAL,98,128,127,-1,var_slot:36; opcode:28; goto_swap:25; branch_target:6; branch_inv:1; return_swap:1; orig_extra:1,1,6,,25,28,1,,1,36
zombie/config/ConfigFile,read,(Ljava/lang/String;)Z,SORTED_MULTISET,99,139,137,-2,opcode:40; var_slot:29; goto_swap:20; const_ref:5; branch_target:2; orig_extra:2; return_swap:1,,2,5,20,40,2,,1,29
