class,method,descriptor,tier,total_issues,orig_insns,recomp_insns,insn_diff,issue_breakdown,n_branch_inv,n_branch_target,n_const_ref,n_goto_swap,n_opcode,n_orig_extra,n_recomp_extra,n_return_swap,n_var_slot
zombie/network/FakeClientManager$1,<clinit>,()V,SORTED_MULTISET,178,296,296,0,opcode:79; const_ref:48; goto_swap:26; var_slot:13; branch_target:12,,12,48,26,79,,,,13
zombie/chat/ChatManager,processJoinChatPacket,(Ljava/nio/ByteBuffer;)V,SORTED_MULTISET,180,176,178,2,opcode:79; var_slot:66; goto_swap:18; const_ref:7; recomp_extra:7; return_swap:3,,,7,18,79,,7,3,66
zombie/randomizedWorld/randomizedVehicleStory/RVSChangingTire,spawnElement,(Lzombie/randomizedWorld/randomizedVehicleStory/VehicleStorySpawner;Lzombie/randomizedWorld/randomizedVehicleStory/VehicleStorySpawner$Element;)V,STRUCTURAL,183,197,196,-1,opcode:82; var_slot:54; goto_swap:25; const_ref:20; return_swap:1; recomp_extra:1,,,20,25,82,,1,1,54
zombie/radio/devices/DeviceData,sendDeviceDataStatePacket,(Lzombie/core/raknet/UdpConnection;S)V,STRUCTURAL,184,244,243,-1,opcode:71; const_ref:49; var_slot:31; goto_swap:29; recomp_extra:3; branch_target:1,,1,49,29,71,,3,,31
zombie/vehicles/UI3DScene$RotateGizmo,updateTracking,(FF)V,STRUCTURAL,190,194,194,0,opcode:124; var_slot:49; const_ref:8; goto_swap:7; branch_inv:1; return_swap:1,1,,8,7,124,,,1,49
zombie/radio/devices/DeviceData,receiveDeviceDataStatePacket,(Ljava/nio/ByteBuffer;Lzombie/core/raknet/UdpConnection;)V,SORTED_MULTISET,197,335,335,0,opcode:66; var_slot:55; const_ref:35; goto_swap:25; branch_target:13; branch_inv:1; return_swap:1; recomp_extra:1,1,13,35,25,66,,1,1,55
zombie/core/Collections/NonBlockingHashMapLong$CHM,putIfMatch,(JLjava/lang/Object;Ljava/lang/Object;)Ljava/lang/Object;,SORTED_MULTISET,198,240,242,2,opcode:92; var_slot:72; return_swap:13; goto_swap:8; const_ref:8; branch_target:2; recomp_extra:2; branch_inv:1,1,2,8,8,92,,2,13,72
zombie/core/skinnedmodel/animation/SoftwareSkinnedModelAnim,<init>,([Lzombie/core/skinnedmodel/animation/StaticAnimation;Lzombie/core/skinnedmodel/model/SoftwareModelMesh;Lzombie/core/skinnedmodel/model/SkinningData;)V,STRUCTURAL,199,443,441,-2,const_ref:145; opcode:38; var_slot:13; orig_extra:2; return_swap:1,,,145,,38,2,,1,13
zombie/iso/objects/IsoWindow,removeSheetRope,(Lzombie/characters/IsoPlayer;Lzombie/iso/IsoGridSquare;Z)Z,STRUCTURAL,203,230,229,-1,opcode:92; var_slot:58; const_ref:20; goto_swap:17; branch_target:9; return_swap:4; branch_inv:2; orig_extra:1,2,9,20,17,92,1,,4,58
zombie/network/FakeClientManager,load,(Ljava/lang/String;)Ljava/util/HashMap;,SORTED_MULTISET,203,598,596,-2,const_ref:114; opcode:33; branch_target:16; goto_swap:16; var_slot:15; return_swap:4; recomp_extra:4; branch_inv:1,1,16,114,16,33,,4,4,15
zombie/vehicles/PolygonalMap2,cleanPath,(Ljava/util/ArrayList;Lzombie/vehicles/PolygonalMap2$PathFindRequest;ZZLzombie/vehicles/PolygonalMap2$SearchNode;)V,SORTED_MULTISET,203,423,424,1,const_ref:93; opcode:65; var_slot:33; goto_swap:8; branch_target:3; recomp_extra:1,,3,93,8,65,,1,,33
zombie/iso/objects/IsoDeadBody,save,(Ljava/nio/ByteBuffer;Z)V,SORTED_MULTISET,204,187,187,0,opcode:123; var_slot:49; goto_swap:20; recomp_extra:6; const_ref:5; branch_inv:1,1,,5,20,123,,6,,49
zombie/ui/MoodlesUI,update,()V,SORTED_MULTISET,207,253,255,2,opcode:113; var_slot:69; goto_swap:11; const_ref:8; recomp_extra:4; branch_target:1; return_swap:1,,1,8,11,113,,4,1,69
zombie/core/Collections/NonBlockingIdentityHashMap,putIfMatch,(Lzombie/core/Collections/NonBlockingIdentityHashMap;[Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;)Ljava/lang/Object;,SORTED_MULTISET,212,256,258,2,opcode:87; var_slot:85; const_ref:13; return_swap:13; goto_swap:8; branch_target:3; recomp_extra:2; branch_inv:1,1,3,13,8,87,,2,13,85
zombie/iso/LosUtil,lineClearCollide,(IIIIIIZ)Z,STRUCTURAL,217,325,319,-6,var_slot:90; opcode:71; const_ref:28; goto_swap:13; orig_extra:6; return_swap:5; branch_target:4,,4,28,13,71,6,,5,90
zombie/characters/IsoGameCharacter,Hit,(Lzombie/inventory/types/HandWeapon;Lzombie/characters/IsoGameCharacter;FZFZ)F,STRUCTURAL,218,311,309,-2,opcode:89; var_slot:68; const_ref:54; goto_swap:2; recomp_extra:2; branch_inv:1; branch_target:1; return_swap:1,1,1,54,2,89,,2,1,68
zombie/iso/IsoChunk,AddCorpses,(II)V,SORTED_MULTISET,218,241,243,2,opcode:111; var_slot:49; const_ref:28; goto_swap:11; branch_target:8; recomp_extra:6; return_swap:5,,8,28,11,111,,6,5,49
zombie/core/Collections/NonBlockingHashMap,putIfMatch,(Lzombie/core/Collections/NonBlockingHashMap;[Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;)Ljava/lang/Object;,SORTED_MULTISET,220,267,269,2,var_slot:90; opcode:89; const_ref:14; return_swap:13; goto_swap:8; branch_target:3; recomp_extra:2; branch_inv:1,1,3,14,8,89,,2,13,90
zombie/core/Collections/NonBlockingHashtable,putIfMatch,(Lzombie/core/Collections/NonBlockingHashtable;[Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;)Ljava/lang/Object;,SORTED_MULTISET,220,267,269,2,var_slot:90; opcode:89; const_ref:14; return_swap:13; goto_swap:8; branch_target:3; recomp_extra:2; branch_inv:1,1,3,14,8,89,,2,13,90
zombie/iso/LightingJNI,checkLights,()V,SORTED_MULTISET,224,640,642,2,opcode:108; var_slot:54; const_ref:35; goto_swap:19; branch_target:5; recomp_extra:2; return_swap:1,,5,35,19,108,,2,1,54
zombie/characters/IsoPlayer,canClimbOverWall,(Lzombie/iso/IsoDirections;)Z,STRUCTURAL,228,244,244,0,opcode:110; return_swap:45; var_slot:44; const_ref:18; branch_inv:8; goto_swap:2; branch_target:1,8,1,18,2,110,,,45,44
zombie/network/MPStatisticClient,send,(Lzombie/core/network/ByteBufferWriter;)V,SORTED_MULTISET,228,260,262,2,opcode:120; var_slot:92; goto_swap:8; const_ref:5; recomp_extra:2; return_swap:1,,,5,8,120,,2,1,92
zombie/network/GameServer,receiveItemStats,(Ljava/nio/ByteBuffer;Lzombie/core/raknet/UdpConnection;S)V,STRUCTURAL,229,205,202,-3,var_slot:88; opcode:79; goto_swap:36; const_ref:18; branch_target:3; orig_extra:3; branch_inv:1; return_swap:1,1,3,18,36,79,3,,1,88
zombie/inventory/ItemPickerJava,fillContainer,(Lzombie/inventory/ItemContainer;Lzombie/characters/IsoPlayer;)V,SORTED_MULTISET,232,227,224,-3,opcode:126; var_slot:70; const_ref:18; goto_swap:9; return_swap:5; orig_extra:3; branch_target:1,,1,18,9,126,3,,5,70
zombie/iso/IsoCell,recalculateAnyGridStacks,(Lzombie/iso/IsoCell$PerPlayerRender;IIJ)V,SORTED_MULTISET,233,440,444,4,opcode:77; var_slot:70; const_ref:66; goto_swap:8; branch_target:7; recomp_extra:4; return_swap:1,,7,66,8,77,,4,1,70
zombie/savefile/PlayerDBHelper,setPlayer1,(Ljava/lang/String;I)V,SORTED_MULTISET,241,246,246,0,opcode:102; var_slot:91; goto_swap:26; const_ref:10; return_swap:9; branch_target:1; branch_inv:1; orig_extra:1,1,1,10,26,102,1,,9,91
zombie/iso/LosUtil,lineClearCollideCount,(Lzombie/characters/IsoGameCharacter;Lzombie/iso/IsoCell;IIIIII)I,STRUCTURAL,243,353,347,-6,var_slot:99; opcode:80; const_ref:30; goto_swap:13; orig_extra:9; return_swap:7; branch_target:5,,5,30,13,80,9,,7,99
zombie/radio/ZomboidRadio,Init,(I)V,STRUCTURAL,243,239,239,0,opcode:104; var_slot:59; const_ref:58; goto_swap:13; return_swap:3; orig_extra:3; branch_target:2; branch_inv:1,1,2,58,13,104,3,,3,59
zombie/network/GameClient,sendItemStats,(Lzombie/inventory/InventoryItem;)V,STRUCTURAL,246,276,275,-1,opcode:115; var_slot:73; const_ref:21; recomp_extra:14; return_swap:10; goto_swap:9; branch_target:4,,4,21,9,115,,14,10,73
zombie/core/textures/Pcx,loadPCXminusPal,(Ljava/lang/String;)I,STRUCTURAL,247,363,362,-1,opcode:131; var_slot:84; const_ref:10; return_swap:9; goto_swap:9; branch_target:3; orig_extra:1,,3,10,9,131,1,,9,84
zombie/vehicles/PolygonalMap2$LineClearCollideMain,isNotClearOld,(Lzombie/vehicles/PolygonalMap2;FFFFILzombie/vehicles/BaseVehicle;I)Z,STRUCTURAL,254,1094,1094,0,const_ref:252; branch_inv:1; branch_target:1,1,1,252,,,,,,
zombie/iso/objects/IsoDoor,isAdjacentToSquare,(Lzombie/iso/IsoGridSquare;)Z,STRUCTURAL,256,689,689,0,opcode:118; branch_target:48; return_swap:40; var_slot:34; branch_inv:16,16,48,,,118,,,40,34
zombie/characters/IsoGameCharacter,updateUserName,()V,SORTED_MULTISET,258,283,284,1,opcode:124; const_ref:66; var_slot:56; goto_swap:6; branch_target:4; return_swap:1; recomp_extra:1,,4,66,6,124,,1,1,56
zombie/iso/IsoRoofFixer,getRoofFloorForColumn,(Lzombie/iso/IsoGridSquare;)Lzombie/iso/IsoGridSquare;,SORTED_MULTISET,260,295,296,1,opcode:105; var_slot:88; goto_swap:26; const_ref:15; return_swap:12; branch_target:9; recomp_extra:5,,9,15,26,105,,5,12,88
zombie/input/JoypadManager,doControllerFile,(Lzombie/input/JoypadManager$Joypad;)V,STRUCTURAL,262,573,573,0,const_ref:184; branch_target:55; opcode:10; goto_swap:5; var_slot:5; branch_inv:1; return_swap:1; recomp_extra:1,1,55,184,5,10,,1,1,5
zombie/core/raknet/UdpEngine,decode,(Ljava/nio/ByteBuffer;)V,SORTED_MULTISET,266,339,338,-1,opcode:134; var_slot:72; goto_swap:25; const_ref:16; branch_target:13; return_swap:3; orig_extra:3,,13,16,25,134,3,,3,72
zombie/network/GameServer,receivePlayerUpdate,(Ljava/nio/ByteBuffer;Lzombie/core/raknet/UdpConnection;S)V,STRUCTURAL,275,336,336,0,opcode:103; const_ref:102; var_slot:39; branch_target:21; goto_swap:4; return_swap:3; recomp_extra:2; branch_inv:1,1,21,102,4,103,,2,3,39
zombie/core/textures/Pcx,loadPCX,(Ljava/net/URL;)I,STRUCTURAL,276,294,293,-1,opcode:149; var_slot:92; const_ref:12; goto_swap:11; return_swap:9; branch_target:2; orig_extra:1,,2,12,11,149,1,,9,92
zombie/core/SpriteRenderer$RingBuffer$StateRun,render,()V,SORTED_MULTISET,280,390,394,4,const_ref:221; branch_target:49; opcode:8; goto_swap:2,,49,221,2,8,,,,
zombie/randomizedWorld/randomizedBuilding/RBBasic,generateSinkClutter,(Lzombie/iso/IsoDirections;Lzombie/iso/IsoObject;Lzombie/iso/IsoGridSquare;Ljava/util/HashMap;)V,STRUCTURAL,282,310,310,0,opcode:141; var_slot:90; goto_swap:31; const_ref:17; branch_target:2; orig_extra:1,,2,17,31,141,1,,,90
zombie/network/NetChecksum$Comparer,serverPacket,(Ljava/nio/ByteBuffer;Lzombie/core/raknet/UdpConnection;)V,SORTED_MULTISET,287,375,374,-1,opcode:100; var_slot:100; const_ref:49; return_swap:21; goto_swap:11; branch_target:5; orig_extra:1,,5,49,11,100,1,,21,100
zombie/vehicles/CircleLineIntersect,TEST,(Lorg/joml/Vector3f;FFFFLzombie/core/physics/CarController;)Z,STRUCTURAL,295,574,572,-2,opcode:194; var_slot:72; const_ref:21; return_swap:3; goto_swap:2; orig_extra:2; branch_target:1,,1,21,2,194,2,,3,72
zombie/characters/IsoPlayer,hopFence,(Lzombie/iso/IsoDirections;Z)Z,STRUCTURAL,299,296,294,-2,opcode:160; var_slot:81; return_swap:51; const_ref:5; orig_extra:2,,,5,,160,2,,51,81
zombie/network/ServerGUI,RenderTiles,()V,STRUCTURAL,300,298,292,-6,opcode:172; var_slot:83; goto_swap:19; const_ref:13; orig_extra:8; branch_target:3; branch_inv:1; return_swap:1,1,3,13,19,172,8,,1,83
zombie/randomizedWorld/randomizedVehicleStory/RVSPoliceBlockadeShooting,spawnElement,(Lzombie/randomizedWorld/randomizedVehicleStory/VehicleStorySpawner;Lzombie/randomizedWorld/randomizedVehicleStory/VehicleStorySpawner$Element;)V,STRUCTURAL,300,298,297,-1,opcode:155; var_slot:89; goto_swap:33; const_ref:20; branch_target:1; return_swap:1; recomp_extra:1,,1,20,33,155,,1,1,89
zombie/iso/weather/dbg/ClimMngrDebug,calculateTotal,()Lzombie/iso/weather/dbg/ClimMngrDebug$RunInfo;,SORTED_MULTISET,302,440,444,4,opcode:128; const_ref:95; var_slot:52; goto_swap:16; recomp_extra:8; branch_target:2; return_swap:1,,2,95,16,128,,8,1,52
zombie/randomizedWorld/randomizedBuilding/RBBasic,generateCounterClutter,(Lzombie/iso/IsoDirections;Lzombie/iso/IsoObject;Lzombie/iso/IsoGridSquare;Ljava/util/HashMap;)V,STRUCTURAL,303,330,330,0,opcode:165; var_slot:78; goto_swap:31; const_ref:26; branch_target:2; orig_extra:1,,2,26,31,165,1,,,78
zombie/vehicles/PolygonalMap2$LineClearCollideMain,getCollidepoint,(Lzombie/vehicles/PolygonalMap2;FFFFILzombie/vehicles/BaseVehicle;I)Lzombie/iso/Vector2;,STRUCTURAL,306,805,805,0,const_ref:304; branch_inv:1; branch_target:1,1,1,304,,,,,,
zombie/iso/weather/ThunderStorm,update,(D)V,SORTED_MULTISET,307,449,450,1,opcode:109; const_ref:104; var_slot:60; goto_swap:18; branch_target:7; branch_inv:5; recomp_extra:3; return_swap:1,5,7,104,18,109,,3,1,60
zombie/util/PZXmlUtil,resolve,(Lorg/w3c/dom/Element;Lorg/w3c/dom/Element;Lorg/w3c/dom/Document;)Lorg/w3c/dom/Element;,SORTED_MULTISET,308,282,281,-1,var_slot:127; opcode:127; goto_swap:30; const_ref:13; branch_inv:4; branch_target:3; return_swap:2; orig_extra:2,4,3,13,30,127,2,,2,127
zombie/gameStates/DebugChunkState,lineClearCached,(Lzombie/iso/IsoCell;IIIIIIZ)Lzombie/iso/LosUtil$TestResults;,STRUCTURAL,310,489,483,-6,var_slot:113; opcode:111; const_ref:54; goto_swap:14; return_swap:8; orig_extra:6; branch_target:4,,4,54,14,111,6,,8,113
zombie/vehicles/BaseVehicle,updateTransform,()V,STRUCTURAL,313,445,443,-2,const_ref:191; opcode:74; var_slot:39; goto_swap:4; branch_target:2; orig_extra:2; return_swap:1,,2,191,4,74,2,,1,39
zombie/characters/IsoPlayer,updateRemotePlayer,()Z,STRUCTURAL,314,755,756,1,const_ref:214; opcode:66; var_slot:29; goto_swap:2; branch_target:1; return_swap:1; recomp_extra:1,,1,214,2,66,,1,1,29
zombie/iso/weather/WeatherPeriod,updateCurrentStage,()V,SORTED_MULTISET,316,645,643,-2,opcode:143; var_slot:72; const_ref:54; goto_swap:22; branch_target:20; return_swap:3; recomp_extra:2,,20,54,22,143,,2,3,72
zombie/iso/IsoMovingObject,postupdate,()V,STRUCTURAL,323,732,732,0,const_ref:233; branch_target:81; opcode:4; goto_swap:3; branch_inv:1; var_slot:1,1,81,233,3,4,,,,1
zombie/iso/weather/ClimateValues,updateValues,(DFLzombie/iso/weather/ClimateManager$DayInfo;Lzombie/iso/weather/ClimateManager$DayInfo;)V,SORTED_MULTISET,329,697,694,-3,opcode:153; const_ref:90; var_slot:79; orig_extra:3; goto_swap:2; branch_target:1; return_swap:1,,1,90,2,153,3,,1,79
zombie/network/MPStatistic,printCSVStatistic,()V,STRUCTURAL,332,573,574,1,opcode:191; var_slot:93; goto_swap:19; const_ref:18; branch_target:4; return_swap:4; recomp_extra:2; branch_inv:1,1,4,18,19,191,,2,4,93
zombie/ai/states/SwipeStatePlayer,CalcHitChance,(Lzombie/characters/IsoGameCharacter;Lzombie/inventory/types/HandWeapon;Lzombie/network/packets/hit/HitInfo;)I,STRUCTURAL,335,340,328,-12,opcode:198; var_slot:98; const_ref:18; orig_extra:12; goto_swap:4; return_swap:3; branch_target:2,,2,18,4,198,12,,3,98
zombie/iso/IsoGridSquare,testVisionAdjacent,(IIIZZ)Lzombie/iso/LosUtil$TestResults;,STRUCTURAL,335,424,420,-4,opcode:174; var_slot:77; return_swap:30; const_ref:27; goto_swap:23; orig_extra:3; branch_target:1,,1,27,23,174,3,,30,77
zombie/gameStates/IngameState,exit,()V,STRUCTURAL,344,439,439,0,opcode:229; const_ref:53; var_slot:36; goto_swap:23; branch_target:1; return_swap:1; orig_extra:1,,1,53,23,229,1,,1,36
zombie/core/physics/CarController,control_ForwardNew,(F)V,SORTED_MULTISET,350,468,478,10,opcode:195; var_slot:56; const_ref:49; branch_target:24; goto_swap:14; recomp_extra:11; return_swap:1,,24,49,14,195,,11,1,56
zombie/iso/LosUtil,lineClear,(Lzombie/iso/IsoCell;IIIIIIZI)Lzombie/iso/LosUtil$TestResults;,STRUCTURAL,351,490,484,-6,var_slot:131; opcode:116; const_ref:68; goto_swap:17; return_swap:9; orig_extra:6; branch_target:4,,4,68,17,116,6,,9,131
zombie/iso/IsoGridSquare,DoCutawayShader,(Lzombie/iso/IsoObject;Lzombie/iso/IsoDirections;ZZZZZZZLzombie/iso/sprite/shapers/WallShaperWhole;)V,SORTED_MULTISET,352,721,733,12,const_ref:227; branch_target:106; opcode:18; goto_swap:1,,106,227,1,18,,,,
zombie/iso/IsoGridSquare,CalculateCollide,(Lzombie/iso/IsoGridSquare;ZZZZLzombie/iso/IsoGridSquare$GetSquare;)Z,SORTED_MULTISET,362,1094,1094,0,const_ref:354; branch_inv:4; branch_target:4,4,4,354,,,,,,
zombie/iso/weather/WorldFlares$Flare,applyFlare,(Lzombie/core/opengl/RenderSettings$PlayerRenderSettings;ILzombie/characters/IsoPlayer;)V,SORTED_MULTISET,370,399,413,14,opcode:211; var_slot:92; const_ref:30; goto_swap:21; recomp_extra:14; branch_target:1; return_swap:1,,1,30,21,211,,14,1,92
zombie/util/AddCoopPlayer,update,()V,STRUCTURAL,373,419,416,-3,opcode:203; var_slot:107; const_ref:33; goto_swap:20; branch_target:4; orig_extra:4; return_swap:2,,4,33,20,203,4,,2,107
zombie/iso/IsoMetaGrid,loadZone,(Ljava/nio/ByteBuffer;I)V,SORTED_MULTISET,377,435,435,0,opcode:162; var_slot:144; const_ref:26; goto_swap:25; branch_target:14; return_swap:5; branch_inv:1,1,14,26,25,162,,,5,144
zombie/core/skinnedmodel/model/ModelInstance$PlayerData,completeFrameLightsForFrame,()V,STRUCTURAL,383,463,463,0,opcode:215; var_slot:128; goto_swap:15; const_ref:15; branch_target:7; branch_inv:2; orig_extra:1,2,7,15,15,215,1,,,128
zombie/iso/IsoObjectPicker,ContextPick,(II)Lzombie/iso/IsoObjectPicker$ClickObject;,STRUCTURAL,390,450,450,0,opcode:211; var_slot:119; const_ref:25; goto_swap:20; branch_target:5; return_swap:5; orig_extra:4; branch_inv:1,1,5,25,20,211,4,,5,119
zombie/vehicles/CollideWithObstacles,resolveCollision,(Lzombie/characters/IsoGameCharacter;FFLorg/joml/Vector2f;)Lorg/joml/Vector2f;,STRUCTURAL,404,927,926,-1,const_ref:209; opcode:104; var_slot:72; goto_swap:13; branch_target:3; branch_inv:1; return_swap:1; orig_extra:1,1,3,209,13,104,1,,1,72
zombie/vehicles/VehicleManager,serverPacket,(Ljava/nio/ByteBuffer;Lzombie/core/raknet/UdpConnection;S)V,FUZZY_COMPUTATION,412,537,541,4,const_ref:326; opcode:39; branch_target:21; var_slot:15; goto_swap:6; recomp_extra:4; return_swap:1,,21,326,6,39,,4,1,15
zombie/inventory/types/Clothing,DoTooltip,(Lzombie/ui/ObjectTooltip;Lzombie/ui/ObjectTooltip$Layout;)V,SORTED_MULTISET,446,838,839,1,opcode:165; var_slot:116; const_ref:95; branch_target:56; goto_swap:8; recomp_extra:3; return_swap:2; branch_inv:1,1,56,95,8,165,,3,2,116
zombie/iso/Helicopter,update,()V,STRUCTURAL,466,488,488,0,opcode:307; var_slot:111; goto_swap:37; const_ref:6; return_swap:3; branch_inv:1; branch_target:1,1,1,6,37,307,,,3,111
zombie/vehicles/VehicleManager,clientPacket,(Ljava/nio/ByteBuffer;)V,STRUCTURAL,467,577,577,0,const_ref:355; branch_target:53; var_slot:41; opcode:17; goto_swap:1,,53,355,1,17,,,,41
zombie/erosion/ErosionConfig,readFile,(Ljava/lang/String;)Z,SORTED_MULTISET,479,495,493,-2,opcode:234; var_slot:141; goto_swap:94; const_ref:5; branch_target:2; orig_extra:2; return_swap:1,,2,5,94,234,2,,1,141
zombie/characters/IsoGameCharacter,<init>,(Lzombie/iso/IsoCell;FFF)V,STRUCTURAL,484,1114,1114,0,const_ref:482; branch_target:1; branch_inv:1,1,1,482,,,,,,
zombie/characters/ClothingWetness,updateWetness,(FF)V,SORTED_MULTISET,491,694,698,4,opcode:252; var_slot:160; goto_swap:36; const_ref:28; branch_target:8; recomp_extra:5; branch_inv:1; return_swap:1,1,8,28,36,252,,5,1,160
zombie/gameStates/ChooseGameInfo,readModInfoAux,(Ljava/lang/String;)Lzombie/gameStates/ChooseGameInfo$Mod;,SORTED_MULTISET,492,509,514,5,opcode:241; var_slot:145; goto_swap:41; const_ref:38; return_swap:15; branch_target:9; recomp_extra:3,,9,38,41,241,,3,15,145
zombie/scripting/objects/VehicleScript,Load,(Ljava/lang/String;Ljava/lang/String;)V,SORTED_MULTISET,528,1035,1033,-2,opcode:248; var_slot:162; branch_target:57; goto_swap:55; const_ref:5; orig_extra:1,,57,5,55,248,1,,,162
zombie/inventory/RecipeManager,PerformMakeItem,(Lzombie/scripting/objects/Recipe;Lzombie/inventory/InventoryItem;Lzombie/characters/IsoGameCharacter;Ljava/util/ArrayList;)Lzombie/inventory/InventoryItem;,STRUCTURAL,529,524,524,0,opcode:283; var_slot:172; goto_swap:40; const_ref:29; return_swap:4; branch_inv:1,1,,29,40,283,,,4,172
zombie/core/skinnedmodel/advancedanimation/AnimatedModel,DrawChar,(Lzombie/core/skinnedmodel/advancedanimation/AnimatedModel$AnimatedModelInstanceRenderData;)V,SORTED_MULTISET,568,600,591,-9,opcode:348; var_slot:156; const_ref:36; orig_extra:12; goto_swap:10; return_swap:5; branch_inv:1,1,,36,10,348,12,,5,156
zombie/scripting/objects/EvolvedRecipe,addItem,(Lzombie/inventory/InventoryItem;Lzombie/inventory/InventoryItem;Lzombie/characters/IsoGameCharacter;)Lzombie/inventory/InventoryItem;,STRUCTURAL,584,716,718,2,opcode:316; var_slot:211; const_ref:29; branch_target:12; goto_swap:11; return_swap:3; recomp_extra:2,,12,29,11,316,,2,3,211
zombie/iso/IsoCell,renderInternal,()V,SORTED_MULTISET,591,1321,1323,2,opcode:276; var_slot:186; const_ref:78; goto_swap:34; branch_target:12; recomp_extra:4; return_swap:1,,12,78,34,276,,4,1,186
zombie/iso/LosUtil,lineClearCached,(Lzombie/iso/IsoCell;IIIIIIZI)Lzombie/iso/LosUtil$TestResults;,STRUCTURAL,593,882,876,-6,opcode:249; var_slot:214; const_ref:78; goto_swap:20; orig_extra:17; return_swap:8; branch_target:7,,7,78,20,249,17,,8,214
zombie/vehicles/UI3DScene,fromLua1,(Ljava/lang/String;Ljava/lang/Object;)Ljava/lang/Object;,STRUCTURAL,601,789,789,0,const_ref:236; opcode:198; var_slot:121; return_swap:30; goto_swap:10; branch_target:2; branch_inv:2; orig_extra:2,2,2,236,10,198,2,,30,121
zombie/iso/IsoWorld,LoadTileDefinitions,(Lzombie/iso/sprite/IsoSpriteManager;Ljava/lang/String;I)V,STRUCTURAL,621,2145,2142,-3,opcode:275; var_slot:222; goto_swap:73; const_ref:40; branch_target:9; return_swap:1; orig_extra:1,,9,40,73,275,1,,1,222
zombie/iso/IsoChunk,AddVehicles_OnZone,(Lzombie/iso/IsoMetaGrid$VehicleZone;Ljava/lang/String;)V,SORTED_MULTISET,634,740,739,-1,opcode:366; var_slot:168; const_ref:52; goto_swap:39; branch_target:6; return_swap:2; orig_extra:1,,6,52,39,366,1,,2,168
zombie/iso/objects/IsoThumpable,isAdjacentToSquare,(Lzombie/iso/IsoGridSquare;)Z,STRUCTURAL,669,689,689,0,opcode:351; var_slot:195; return_swap:92; branch_target:23; const_ref:5; goto_swap:2; branch_inv:1,1,23,5,2,351,,,92,195
zombie/iso/IsoCell$SnowGrid,init,(I)Lzombie/iso/IsoCell$SnowGrid;,SORTED_MULTISET,702,708,713,5,opcode:372; var_slot:234; goto_swap:62; const_ref:15; recomp_extra:15; branch_target:3; return_swap:1,,3,15,62,372,,15,1,234
zombie/vehicles/UI3DScene,fromLua2,(Ljava/lang/String;Ljava/lang/Object;Ljava/lang/Object;)Ljava/lang/Object;,STRUCTURAL,776,998,998,0,const_ref:516; opcode:132; var_slot:85; return_swap:27; branch_target:7; branch_inv:3; goto_swap:3; orig_extra:3,3,7,516,3,132,3,,27,85
zombie/core/skinnedmodel/model/ModelLoader,loadTxt,(Ljava/lang/String;ZZLzombie/core/skinnedmodel/model/SkinningData;)Lzombie/core/skinnedmodel/model/ModelTxt;,SORTED_MULTISET,929,951,952,1,opcode:415; var_slot:368; const_ref:76; goto_swap:63; branch_target:3; recomp_extra:3; return_swap:1,,3,76,63,415,,3,1,368
zombie/creative/creativerects/OpenSimplexNoise,eval,(DDD)D,STRUCTURAL,952,1951,1943,-8,opcode:365; var_slot:311; const_ref:234; goto_swap:28; orig_extra:8; branch_target:5; return_swap:1,,5,234,28,365,8,,1,311
zombie/vehicles/VehicleManager,clientReceiveUpdate,(Ljava/nio/ByteBuffer;)V,STRUCTURAL,962,977,976,-1,opcode:450; var_slot:338; goto_swap:85; const_ref:80; return_swap:6; branch_target:1; branch_inv:1; orig_extra:1,1,1,80,85,450,1,,6,338
zombie/ui/UIManager,update,()V,SORTED_MULTISET,965,1092,1090,-2,opcode:555; var_slot:186; const_ref:145; goto_swap:64; branch_target:7; orig_extra:4; branch_inv:3; return_swap:1,3,7,145,64,555,4,,1,186
zombie/vehicles/PolygonalMap2,findPath,(Lzombie/vehicles/PolygonalMap2$PathFindRequest;Z)Z,FUZZY_COMPUTATION,1041,1620,1616,-4,const_ref:509; opcode:296; var_slot:187; goto_swap:35; branch_target:6; return_swap:5; orig_extra:3,,6,509,35,296,3,,5,187
zombie/inventory/InventoryItem,DoTooltip,(Lzombie/ui/ObjectTooltip;)V,SORTED_MULTISET,1060,1172,1172,0,opcode:593; var_slot:291; const_ref:145; goto_swap:20; orig_extra:6; branch_target:4; return_swap:1,,4,145,20,593,6,,1,291
zombie/network/GameServer,main,([Ljava/lang/String;)V,SORTED_MULTISET,1268,1823,1824,1,const_ref:580; opcode:417; var_slot:108; branch_target:101; goto_swap:52; return_swap:8; branch_inv:1; recomp_extra:1,1,101,580,52,417,,1,8,108
zombie/characters/IsoGameCharacter,renderlast,()V,SORTED_MULTISET,2846,2923,2932,9,opcode:1767; var_slot:660; const_ref:347; goto_swap:46; branch_target:13; recomp_extra:8; return_swap:3; branch_inv:2,2,13,347,46,1767,,8,3,660
zombie/creative/creativerects/OpenSimplexNoise,eval,(DDDD)D,STRUCTURAL,3298,4887,4907,20,opcode:1332; var_slot:1049; const_ref:673; goto_swap:120; branch_target:115; orig_extra:8; return_swap:1,,115,673,120,1332,8,,1,1049
